[SUMMARY]
Software Information
Software Name:	UVProbe
2044.0	0.923
2046.0	0.925
2048.0	1.027
2050.0	1.080
2052.0	1.183
2054.0	1.315
2056.0	1.382
2058.0	1.555
2060.0	1.593
2062.0	1.715
2064.0	1.889
2066.0	1.929
2068.0	2.090
2070.0	2.335
2072.0	2.451
2074.0	2.521
2076.0	2.774
2078.0	3.099
2080.0	3.226
2082.0	3.372
2084.0	3.607
2086.0	3.694
2088.0	3.929
2090.0	4.144
2092.0	4.298
2094.0	4.477
2096.0	4.706
2098.0	4.993
2100.0	5.191
2102.0	5.515
2104.0	5.862
2106.0	6.116
2108.0	6.306
2110.0	6.442
2112.0	6.718
2114.0	7.095
2116.0	7.254
2118.0	7.590
2120.0	7.986
2122.0	8.151
2124.0	8.386
2126.0	8.595
2128.0	8.882
2130.0	9.271
2132.0	9.480
2134.0	9.723
2136.0	9.929
2138.0	10.086
2140.0	10.321
2142.0	10.582
2144.0	10.825
2146.0	10.878
2148.0	11.073
2150.0	11.523
2152.0	11.900
2154.0	11.894
2156.0	11.853
2158.0	12.157
2160.0	12.419
2162.0	12.523
2164.0	12.602
2166.0	12.933
2168.0	13.145
2170.0	13.077
2172.0	13.245
2174.0	13.606
2176.0	13.797
2178.0	13.910
2180.0	14.122
2182.0	14.241
2184.0	14.221
2186.0	14.320
2188.0	14.427
2190.0	14.536
2192.0	14.584
2194.0	14.458
2196.0	14.549
2198.0	14.525
2200.0	14.684
2202.0	14.912
2204.0	14.903
2206.0	14.758
2208.0	14.676
2210.0	14.816
2212.0	14.778
2214.0	14.780
2216.0	14.798
2218.0	14.838
2220.0	14.957
2222.0	14.876
2224.0	14.830
2226.0	14.796
2228.0	14.629
2230.0	14.470
2232.0	14.355
2234.0	14.194
2236.0	14.339
2238.0	14.383
2240.0	14.081
2242.0	14.034
2244.0	13.826
2246.0	13.545
2248.0	13.635
2250.0	13.560
2252.0	13.345
2254.0	13.332
2256.0	13.144
2258.0	12.898
2260.0	12.738
2262.0	12.634
2264.0	12.517
2266.0	12.163
2268.0	11.894
2270.0	11.806
2272.0	11.615
2274.0	11.334
2276.0	11.308
2278.0	11.188
2280.0	10.809
2282.0	10.634
2284.0	10.521
2286.0	10.283
2288.0	10.056
2290.0	9.718
2292.0	9.491
2294.0	9.270
2296.0	9.059
2298.0	8.981
2300.0	8.620
2302.0	8.459
2304.0	8.340
2306.0	7.980
2308.0	7.635
2310.0	7.446
2312.0	7.355
2314.0	7.104
2316.0	6.821
2318.0	6.564
2320.0	6.383
2322.0	6.195
2324.0	5.908
2326.0	5.688
2328.0	5.508
2330.0	5.310
2332.0	5.095
2334.0	4.858
2336.0	4.680
2338.0	4.575
2340.0	4.462
2342.0	4.225
2344.0	4.051
2346.0	4.004
2348.0	3.702
2350.0	3.519
2352.0	3.331
2354.0	3.102
2356.0	3.036
2358.0	2.831
2360.0	2.737
2362.0	2.699
2364.0	2.519
2366.0	2.464
2368.0	2.364
2370.0	2.153
2372.0	2.106
2374.0	1.932
2376.0	1.863
2378.0	1.796
2380.0	1.622
2382.0	1.483
2384.0	1.302
2386.0	1.248
2388.0	1.212
2390.0	1.134
2392.0	1.009
2394.0	1.018
2396.0	1.051
2398.0	0.894
2400.0	0.732
2402.0	0.816
2404.0	0.877
2406.0	0.684
2408.0	0.587
2410.0	0.490
2412.0	0.522
2414.0	0.420
2416.0	0.455
2418.0	0.539
2420.0	0.272
2422.0	0.275
2424.0	0.418
2426.0	0.534
2428.0	0.368
2430.0	0.316
2432.0	0.377
2434.0	0.264
2436.0	0.357
