.wavelength, spc
325.000000, 0.021376
323.000000, 0.021194
321.000000, 0.022653
319.000000, 0.024115
317.000000, 0.025151
315.000000, 0.026418
313.000000, 0.027889
311.000000, 0.029197
309.000000, 0.031509
307.000000, 0.034424
305.000000, 0.035094
303.000000, 0.042251
301.000000, 0.048043
299.000000, 0.056276
297.000000, 0.066794
295.000000, 0.080492
293.000000, 0.096720
291.000000, 0.115650
289.000000, 0.136334
287.000000, 0.158268
285.000000, 0.182326
283.000000, 0.206119
281.000000, 0.229072
279.000000, 0.250511
277.000000, 0.270732
275.000000, 0.291071
273.000000, 0.310342
271.000000, 0.328403
269.000000, 0.343885
267.000000, 0.358288
265.000000, 0.372392
263.000000, 0.384686
261.000000, 0.394849
259.000000, 0.401009
257.000000, 0.402818
255.000000, 0.402120
253.000000, 0.398866
251.000000, 0.393173
249.000000, 0.385852
247.000000, 0.377427
245.000000, 0.368886
243.000000, 0.360765
241.000000, 0.352316
239.000000, 0.343941
237.000000, 0.337251
235.000000, 0.330248
233.000000, 0.322771
231.000000, 0.312803
